date,close,pe_spread,turn_ma20,ls,fund30,bias250,rsi90,pe_spread_pct3,turn_ma20_pct3,ls_pct3,fund30_pct3,bias250_pct3,rsi90_pct3,sentiment_3y
2015-04-20,4217.077,-0.018414624439108858,6.86507,136.6399805895328,0.9186632049143275,60.312940047088844,68.12997203568135,0.9946666666666667,1.0,0.784,0.9833333333333333,0.9973333333333333,0.976,0.955888888888889
2015-04-21,4293.623,-0.01804732682014506,6.92098,113.00734325389527,0.9150311355254697,62.687738052307765,68.85428933927977,0.9946666666666667,1.0,0.7333333333333333,0.9672131147540983,0.9986666666666667,0.9866666666666667,0.9467577413479052
2015-04-22,4398.494,-0.01688239008824964,6.94076,98.04997845517724,0.9196087603677638,66.0906957468645,69.8050392562792,0.9986666666666667,1.0,0.7013333333333334,1.0,1.0,0.9906666666666667,0.9484444444444445
2015-04-23,4414.508,-0.016701282619459766,7.024879999999999,86.5357265935449,0.9199392202229364,66.1150760557391,69.94670247332704,0.9986666666666667,1.0,0.676,1.0,1.0,0.9906666666666667,0.9442222222222223
2015-04-24,4393.686,-0.016628176764355733,7.107259999999999,87.10587154045746,0.930877082344078,64.7639972488551,69.51786357823131,0.9986666666666667,1.0,0.68,1.0,0.9973333333333333,0.9853333333333333,0.9435555555555556
2015-04-27,4527.396,-0.015463171304350036,7.26399,78.10709411860057,0.930986713932703,69.16192546677877,70.68497195627558,1.0,1.0,0.6546666666666666,1.0,1.0,0.9973333333333333,0.9420000000000001
2015-04-28,4476.215,-0.015635602527804777,7.3866249999999996,88.88296960547524,0.935961256669553,66.65716761474502,69.65268362275589,0.9986666666666667,1.0,0.6866666666666666,1.0,0.9986666666666667,0.9853333333333333,0.9448888888888889
2015-04-29,4476.62,-0.01582685176614245,7.3605350000000005,92.36266277388941,0.9308440507574952,66.07598055464112,69.65622965133012,0.9973333333333333,0.9986666666666667,0.704,0.9552238805970149,0.9946666666666667,0.9853333333333333,0.9392039800995025
2015-04-30,4441.655,-0.017218258682211593,7.407209999999999,96.17918301093556,0.9346029475560952,64.20163007789286,68.9528253545744,0.9906666666666667,1.0,0.7066666666666667,0.9852941176470589,0.992,0.9786666666666667,0.9422156862745097
2015-05-04,4480.464,-0.016476312203482855,7.414765,87.9489446180346,0.9300764893172616,65.04740009337763,69.3007809334616,0.9946666666666667,1.0,0.6853333333333333,0.927536231884058,0.9933333333333333,0.98,0.9301449275362318
2015-05-05,4298.706,-0.018416168595672668,7.473535000000001,69.67056797618613,0.9305215395575542,57.83063259614438,65.80782701849876,0.9813333333333333,1.0,0.628,0.9285714285714286,0.9813333333333333,0.932,0.9085396825396826
2015-05-06,4229.266,-0.018676515053697773,7.416025,63.08464046782342,0.8982509544430264,54.782631074526876,64.55085557935024,0.9773333333333334,0.9986666666666667,0.6173333333333333,0.8028169014084507,0.9746666666666667,0.912,0.8804694835680751
2015-05-07,4112.214,-0.020309878270048917,7.27672,36.631708258131084,0.8933521015224687,50.03560233992981,62.51542326800154,0.9733333333333334,0.992,0.5413333333333333,0.7916666666666666,0.9666666666666667,0.8973333333333333,0.8603888888888888
2015-05-08,4205.917,-0.019826751757369046,7.159975,23.25577929165874,0.8930096489315272,52.96647868914577,63.44843645163861,0.9733333333333334,0.9893333333333333,0.49866666666666665,0.7808219178082192,0.972,0.9013333333333333,0.8525814307458144
2015-05-11,4333.584,-0.01824467126412537,7.15854,17.951355970991102,0.8902041006253342,57.08239892050675,64.66035926240113,0.9826666666666667,0.988,0.488,0.7702702702702703,0.98,0.9146666666666666,0.8539339339339338
2015-05-12,4401.219,-0.017245884742306226,7.111985,13.16560630368599,0.8756013274751641,58.9867968197894,65.277138648972,0.988,0.9866666666666667,0.48,0.76,0.9813333333333333,0.9253333333333333,0.8535555555555557
