date,daily_net_inflow_100mn,rolling_7d_net_inflow_100mn,missing_flow_codes
2025-01-02,,,"159919,510050,510300,510310,510330"
2025-01-03,24.535206,,
2025-01-06,23.772807,,
2025-01-07,5.304501,,
2025-01-08,11.876895,,
2025-01-09,4.865292,,
2025-01-10,9.643464,,
2025-01-13,39.938625,119.93679,
2025-01-14,15.889491,111.291075,
2025-01-15,-10.646370000000001,76.871898,
2025-01-16,-13.203486,58.363910999999995,
2025-01-17,2.4471629999999998,48.934179,
2025-01-20,-0.608859,43.460028,
2025-01-21,-7.83567,25.980894,
2025-01-22,-19.787256,-33.744987,
2025-01-23,-1.284363,-50.918841,
2025-01-24,28.633707,-11.638763999999995,
2025-01-27,-57.569427,-56.004704999999994,
2025-02-05,0.41329800000000017,-58.03856999999999,
2025-02-06,44.745228,-12.684483,
2025-02-07,-4.6606950000000005,-9.509508,
2025-02-10,-39.956274,-29.678526,
2025-02-11,-41.900724,-70.294887,
2025-02-12,-1.9206360000000005,-100.84923,
2025-02-13,-21.971259,-65.251062,
2025-02-14,27.582921,-38.081439,
2025-02-17,-50.317911,-133.14457800000002,
2025-02-18,-24.796143,-153.28002600000002,
2025-02-19,14.000229,-99.32352300000001,
2025-02-20,-26.619048,-84.04184700000002,
2025-02-21,12.754287000000001,-69.36692400000001,
2025-02-24,-61.243614,-108.63927900000002,
2025-02-25,-16.29486,-152.51706000000001,
2025-02-26,-37.411452,-139.61060100000003,
2025-02-27,-27.449172,-142.26363,
2025-02-28,-19.323,-175.586859,
2025-03-03,-4.54347,-153.51128100000003,
2025-03-04,-14.762457,-181.028025,
2025-03-05,-55.050975,-174.83538600000003,
2025-03-06,23.28012,-135.26040600000002,
2025-03-07,-34.638588,-132.48754200000002,
2025-03-10,-80.470377,-185.50874700000003,
2025-03-11,32.036364,-134.149383,
2025-03-12,-4.786416,-134.39232900000002,
2025-03-13,-4.004559,-123.634431,
2025-03-14,23.200857000000003,-45.38259900000001,
2025-03-17,-13.783923,-82.44664200000001,
2025-03-18,-21.085596000000002,-68.89365000000001,
2025-03-19,-2.0401830000000003,9.536543999999983,
2025-03-20,-6.48315,-28.982970000000016,
2025-03-21,-11.799648,-35.99620200000001,
2025-03-24,-14.186718,-46.17836100000002,
2025-03-25,-5.787783,-75.16700100000003,
2025-03-26,14.488272,-46.89480600000002,
2025-03-27,-0.6260939999999997,-26.435304000000016,
2025-03-28,-12.80457,-37.199691000000016,
2025-03-31,3.8886570000000003,-26.82788400000002,
2025-04-01,10.018278,-5.009958000000017,
2025-04-02,5.583024,14.759783999999984,
2025-04-03,4.244193,24.791759999999982,
2025-04-07,406.917567,417.221055,
2025-04-08,577.0582470000003,994.9053960000003,
2025-04-09,76.576851,1084.2868170000002,
2025-04-10,-16.31889,1064.0792700000002,
2025-04-11,2.7528840000000003,1056.8138760000002,
2025-04-14,-38.898693,1012.3321590000003,
2025-04-15,73.423296,1081.5112620000002,
2025-04-16,223.186671,897.7803660000002,
2025-04-17,54.28224,375.0043589999999,
2025-04-18,104.203989,402.63149699999985,
2025-04-21,22.086153,441.0365399999999,
2025-04-22,-28.835622,409.4480339999999,
2025-04-23,-11.929698,436.4170289999999,
2025-04-24,-3.9167999999999994,359.07693299999994,
2025-04-25,-14.031684,121.8585779999999,
2025-04-28,-25.009874999999997,42.5664629999999,
2025-04-29,-5.966712,-67.60423800000011,
2025-04-30,4.342482,-85.3479090000001,
2025-05-06,2.3022719999999994,-54.210015000000105,
2025-05-07,-41.350005,-83.63032200000012,
2025-05-08,18.798669,-60.91485300000012,
2025-05-09,-24.887124,-71.77029300000011,
2025-05-12,5.016293999999999,-41.74412400000012,
2025-05-13,-30.300057,-66.07746900000012,
2025-05-14,7.932645000000001,-62.48730600000012,
