date,daily_net_inflow_100mn,rolling_7d_net_inflow_100mn,missing_flow_codes
2025-07-18,-3.9099240000000006,24.392961,
2025-07-21,4.389228,16.529156999999998,
2025-07-22,-1.635723,10.938042,
2025-07-23,-5.2191540000000005,0.2676419999999995,
2025-07-24,-3.520584,-12.966048,
2025-07-25,-8.335638,-24.228954,
2025-07-28,8.839557,-9.392238000000003,
2025-07-29,-11.551734,-17.034048000000002,
2025-07-30,0.2505375,-21.1727385,
2025-07-31,-17.5100355,-37.047051,
2025-08-01,-5.597343,-37.42524,
2025-08-04,-8.0985735,-42.0032295,
2025-08-05,2.144754,-31.522837500000005,
2025-08-06,2.857923,-37.5044715,
2025-08-07,-9.209016000000002,-35.1617535,
2025-08-08,-2.665953,-38.078244000000005,
2025-08-11,-4.768415999999999,-25.336624500000003,
2025-08-12,-25.31025,-45.0495315,
2025-08-13,-4.9468545,-41.8978125,
2025-08-14,-34.830216,-78.8727825,
2025-08-15,-0.3646755,-82.095381,
2025-08-18,-15.486147000000003,-88.372512,
2025-08-19,0.84204,-84.864519,
2025-08-20,-22.27284,-102.368943,
2025-08-21,-10.8221175,-87.8808105,
2025-08-22,-50.817942,-133.75189799999998,
2025-08-25,-22.2345225,-121.1562045,
2025-08-26,1.8638595,-118.92766950000001,
2025-08-27,-29.255498999999997,-132.6970215,
2025-08-28,-35.417088,-168.95614949999998,
2025-08-29,2.9810925,-143.702217,
2025-09-01,-11.809764,-144.6898635,
2025-09-02,-11.869578,-105.7414995,
2025-09-03,-12.1760775,-95.6830545,
2025-09-04,-0.58068,-98.12759399999999,
2025-09-05,1.681596,-67.190499,
2025-09-08,-9.0612,-40.834610999999995,
2025-09-09,-6.19164,-50.007343500000005,
2025-09-10,-5.9598,-44.1573795,
2025-09-11,-9.3514635,-41.639265,
2025-09-12,-11.328552,-40.7917395,
2025-09-15,-1.9645785000000002,-42.175638,
2025-09-16,-12.196575,-56.053809,
2025-09-17,-7.839711,-54.83232,
2025-09-18,-6.328377,-54.969057,
2025-09-19,-14.6186865,-63.6279435,
2025-09-22,-16.772994,-71.049474,
2025-09-23,-1.462725,-61.183647,
2025-09-24,-13.347297,-72.56636549999999,
2025-09-25,2.019879,-58.3499115,
2025-09-26,2.74158,-47.7686205,
2025-09-29,6.4603845,-34.979859000000005,
2025-09-30,-0.4944555,-20.855628,
2025-10-09,-5.233896,-9.31653,
2025-10-10,32.4617535,24.6079485,
2025-10-13,-11.6204445,26.334801,
2025-10-14,6.66315,30.978071999999997,
2025-10-15,-3.648159,24.588333,
2025-10-16,-7.629849,10.498099499999999,
2025-10-17,10.628145,21.6207,
2025-10-20,-0.7110675,26.1435285,
2025-10-21,-8.174088,-14.492313000000003,
2025-10-22,-6.37632,-9.248188500000003,
2025-10-23,5.562648,-10.348690500000004,
2025-10-24,-10.501452,-17.201983500000004,
2025-10-27,9.8874135,0.315278999999995,
2025-10-28,-0.834516,-11.147382000000006,
2025-10-29,3.0253725,-7.410942000000005,
2025-10-30,1.173816,1.9369619999999945,
2025-10-31,16.323966,24.637247999999992,
2025-11-03,3.310425,22.38502499999999,
2025-11-04,-7.604496,25.281980999999995,
2025-11-05,1.2483,16.642867499999994,
2025-11-06,-15.953445,1.5239384999999945,
2025-11-07,0.133785,-1.3676490000000059,
2025-11-10,4.788396,2.246930999999994,
2025-11-11,1.901385,-12.175650000000006,
2025-11-12,12.907026,-2.5790490000000066,
2025-11-13,-1.9174365,3.1080104999999945,
2025-11-14,7.2690075,9.128717999999994,
2025-11-17,1.21581,26.297972999999995,
2025-11-18,-2.95182,23.212367999999994,
2025-11-19,4.893619500000001,23.3175915,
2025-11-20,7.533,28.949206499999995,
2025-11-21,23.824584,39.866764499999995,
2025-11-24,5.2088849999999995,46.993086,
2025-11-25,-5.970447,33.7536315,
2025-11-26,-15.478587,17.0592345,
2025-11-27,-5.0188005,14.992253999999999,
2025-11-28,-3.387663,6.710971499999997,
2025-12-01,0.6951285,-0.12690000000000268,
2025-12-02,0.249642,-23.701842000000003,
2025-12-03,0.6803775,-28.230349500000003,
2025-12-04,0.564165,-21.695737500000003,
2025-12-05,10.8468405,4.629689999999995,
2025-12-08,7.920252,17.568742499999992,
2025-12-09,-1.4650425,19.491362999999993,
2025-12-10,2.9933595,21.789593999999994,
2025-12-11,5.0166,26.556551999999993,
2025-12-12,-5.939352,19.936822499999995,
2025-12-15,7.058997,26.431654499999993,
2025-12-16,8.57619,24.16100399999999,
2025-12-17,-6.906735,9.334016999999996,
2025-12-18,4.393125,15.192184499999994,
2025-12-19,4.526073,16.724897999999996,
2025-12-22,-3.79593,7.912367999999994,
2025-12-23,-6.095952,7.7557679999999944,
2025-12-24,-3.6517905,-2.9550195000000046,
2025-12-25,6.9675525,-4.5636570000000045,
2025-12-26,7.0784145,9.421492499999996,
2025-12-29,-9.122256,-4.093888500000005,
2025-12-30,-8.8276635,-17.447625000000006,
2025-12-31,8.789634,-4.862061000000006,
2026-01-05,-8.053155,-6.819264000000006,
2026-01-06,15.509025,12.341551499999994,
2026-01-07,-10.3284,-4.954401000000006,
2026-01-08,-3.375855,-15.408670500000005,
2026-01-09,3.14685,-3.139564500000005,
2026-01-12,-1.79325,3.894848999999995,
2026-01-13,6.203745,1.3089599999999955,
2026-01-14,-13.35834,-3.9962250000000044,
2026-01-15,2.12355,-17.381700000000002,
2026-01-16,0.645165,-6.408135000000003,
2026-01-19,-0.28548,-3.317760000000004,
2026-01-20,-13.8294,-20.294010000000004,
2026-01-21,-25.74288,-44.24364,
2026-01-22,-1.4598,-51.907185,
2026-01-23,7.136775,-31.41207,
2026-01-26,-3.125025,-36.660645,
2026-01-27,-8.0442,-45.35001,
