date,industry,wind_code,pe_ttm,pb_lf,amount_100mn,pe_ttm_pctile_10y,pb_lf_pctile_10y,amount_pctile_5y,pe_ttm_pctile_10y_wow,pb_lf_pctile_10y_wow,amount_pctile_5y_wow,crowding_score
2026-07-26,电子,CI005025.WI,104.1384,6.5685,36441.0152,98.23529411764706,98.0392156862745,96.06299212598425,-0.19607843137254122,-0.19607843137255543,-1.9685039370078812,97.44583397663526
2026-07-26,煤炭,CI005002.WI,21.3817,1.6477,827.6823,92.15291750503019,88.99803536345776,81.49606299212599,0.21743363406244498,9.037328094302552,13.38582677165354,87.5490052868713
2026-07-26,石油石化,CI005001.WI,14.6084,1.3548,1244.6095,48.722986247544206,90.76620825147347,96.8503937007874,2.5540275049115877,19.05697445972494,1.5748031496062964,78.77986273326836
2026-07-26,银行,CI005021.WI,6.9839,0.6708,1750.9465,83.69351669941061,41.2573673870334,94.09448818897637,4.911591355599214,4.715127701375245,2.755905511811008,73.0151240918068
2026-07-26,建材,CI005008.WI,70.0381,1.3601,1465.7327,97.24950884086444,26.129666011787815,95.2755905511811,-0.5893909626719136,-3.1434184675834977,-1.1811023622047259,72.88492180127778
2026-07-26,国防军工,CI005012.WI,106.7007,3.572,2393.3932,80.0,57.05882352941176,77.16535433070865,0.19607843137254122,1.9607843137254832,-8.267716535433081,71.4080592867068
2026-07-26,基础化工,CI005006.WI,38.2901,2.436,8550.6693,67.77996070726915,44.79371316306484,90.5511811023622,-0.19646365422397594,-0.5893909626718994,-0.7874015748031695,67.70828499089873
2026-07-26,通信,CI005026.WI,30.9436,2.7756,9970.6837,41.17647058823529,62.745098039215684,94.88188976377953,0.0,-0.19607843137254832,-1.1811023622047259,66.26781946374349
2026-07-26,机械,CI005010.WI,43.1997,2.7461,8742.4323,52.54901960784314,59.01960784313726,87.00787401574803,-2.352941176470587,-0.9803921568627416,-3.149606299212593,66.19216715557614
2026-07-26,有色金属,CI005003.WI,19.4706,3.1631,7075.6293,20.039292730844792,78.1925343811395,89.76377952755905,2.3575638506876224,11.198428290766216,2.7559055118110223,62.66520221318111
2026-07-26,计算机,CI005027.WI,79.1883,4.503,8779.027,34.90196078431372,66.86274509803921,84.25196850393701,0.7843137254901933,1.764705882352942,1.5748031496062964,62.00555812876331
2026-07-26,电力设备及新能源,CI005011.WI,47.5388,2.8828,6846.6841,56.27450980392157,51.17647058823529,76.77165354330708,5.882352941176471,4.509803921568626,1.968503937007867,61.407544645154644
2026-07-26,电力及公用事业,CI005004.WI,20.1357,1.7475,4212.1986,29.01960784313726,50.0,96.06299212598425,3.137254901960784,7.450980392156865,5.905511811023629,58.360866656373844
2026-07-26,轻工制造,CI005009.WI,73.7351,1.8057,894.2245,92.15686274509804,11.568627450980392,69.29133858267717,-0.7843137254901933,-1.5686274509803937,0.39370078740158476,57.6722762595852
2026-07-26,钢铁,CI005005.WI,56.8999,1.0024,527.6742,84.98896247240619,27.5049115913556,55.118110236220474,1.5818828263884797,3.929273084479373,1.5748031496062964,55.87066143332742
2026-07-26,医药,CI005018.WI,43.5444,2.7625,7318.522,65.42239685658153,8.055009823182711,94.09448818897637,-2.357563850687626,-1.9646365422396848,-5.511811023622059,55.85729828958021
2026-07-26,农林牧渔,CI005020.WI,72.1395,2.1244,876.4379,82.28438228438229,0.9803921568627451,62.99212598425197,-1.631701631701631,-1.176470588235294,-7.874015748031496,48.752300141832336
2026-07-26,建筑,CI005007.WI,13.4221,0.6869,1195.1451,79.01960784313725,0.9803921568627451,53.937007874015755,0.0,0.196078431372549,-1.5748031496062964,44.645669291338585
2026-07-26,综合金融,CI005030.WI,52.8139,1.2842,109.1537,62.08053691275168,6.489675516224189,62.99212598425197,-0.20902537681061517,-2.681922116911906,12.99212598425197,43.85411280440928
2026-07-26,传媒,CI005028.WI,50.9411,2.0996,2279.8929,43.38235294117647,21.021611001964637,59.84251968503938,-2.6960784313725483,-7.858546168958746,-11.41732283464566,41.415494542726826
2026-07-26,家电,CI005016.WI,17.2178,2.3669,949.318,47.93713163064833,4.911591355599214,70.07874015748031,-0.19646365422396883,-0.5893909626719065,-2.7559055118110365,40.975821047909285
2026-07-26,汽车,CI005013.WI,27.247,2.0176,2570.3003,41.06090373280943,25.736738703339885,53.937007874015755,-0.7858546168958753,-1.768172888015716,-7.086614173228341,40.24488343672169
2026-07-26,商贸零售,CI005014.WI,,1.343,834.0658,,9.019607843137255,68.50393700787401,,-3.137254901960784,-1.1811023622047259,38.76177242550563
2026-07-26,纺织服装,CI005017.WI,27.4266,1.5906,515.7703,30.0,3.7254901960784315,77.16535433070865,-8.82352941176471,-4.705882352941177,2.755905511811008,36.96361484226236
2026-07-26,非银行金融,CI005022.WI,10.297,1.2675,2726.5314,3.143418467583497,20.23575638506876,82.67716535433071,1.1787819253438112,4.715127701375245,-0.7874015748031411,35.35211340232765
2026-07-26,房地产,CI005023.WI,,0.8228,946.6129,,14.145383104125736,55.90551181102362,,-1.5717092337917489,-13.779527559055119,35.02544745757468
2026-07-26,交通运输,CI005024.WI,17.3922,1.2615,1200.3559,23.575638506876228,1.37524557956778,75.19685039370079,6.876227897838902,0.7858546168958743,3.937007874015748,33.38257816004826
2026-07-26,食品饮料,CI005019.WI,20.6924,3.5277,1822.0853,4.12573673870334,1.768172888015717,71.25984251968504,1.37524557956778,0.1964636542239686,5.905511811023629,25.717917382134697
2026-07-26,消费者服务,CI005015.WI,39.7105,2.1238,440.4938,23.636363636363637,0.39215686274509803,44.881889763779526,0.0,-0.19607843137254904,3.937007874015748,22.97013675429609
2026-07-26,综合,CI005029.WI,,1.3257,108.0738,,9.233791748526523,28.74015748031496,,-2.1611001964636536,-2.755905511811026,18.986974614420742
