date,wind_code,index_name,close,pct_change
2024-01-02,000300.SH,沪深300,3386.35,
2024-01-02,000688.SH,科创50,839.8,
2024-01-02,000852.SH,中证1000,5854.75,
2024-01-02,000905.SH,中证500,5409.46,
2024-01-02,000922.CSI,中证红利,5020.99,
2024-01-02,000998.CSI,中证TMT,1679.86,
2024-01-02,932000.CSI,中证2000,2402.03,
2024-01-02,h30269.CSI,红利低波,9597.92,
2024-01-03,000300.SH,沪深300,3378.3,-0.237719078063392
2024-01-03,000688.SH,科创50,829.77,-1.1943319838056632
2024-01-03,000852.SH,中证1000,5824.04,-0.5245313634228643
2024-01-03,000905.SH,中证500,5401.4,-0.14899823642287036
2024-01-03,000922.CSI,中证红利,5074.18,1.059352836791172
2024-01-03,000998.CSI,中证TMT,1650.79,-1.730501351303082
2024-01-03,932000.CSI,中证2000,2389.21,-0.5337152325324945
2024-01-03,h30269.CSI,红利低波,9718.84,1.259856302198803
2024-01-04,000300.SH,沪深300,3347.05,-0.9250214604978879
2024-01-04,000688.SH,科创50,823.85,-0.7134507152584457
2024-01-04,000852.SH,中证1000,5783.02,-0.7043220856999488
2024-01-04,000905.SH,中证500,5355.32,-0.8531121561076715
2024-01-04,000922.CSI,中证红利,5096.16,0.4331734388610453
2024-01-04,000998.CSI,中证TMT,1625.47,-1.533811084389891
2024-01-04,932000.CSI,中证2000,2382.0,-0.3017733895304353
2024-01-04,h30269.CSI,红利低波,9797.79,0.8123397442493241
2024-01-05,000300.SH,沪深300,3329.11,-0.5359943831134917
2024-01-05,000688.SH,科创50,807.73,-1.9566668689688704
2024-01-05,000852.SH,中证1000,5675.81,-1.853875656663817
2024-01-05,000905.SH,中证500,5281.87,-1.3715333537491659
2024-01-05,000922.CSI,中证红利,5099.25,0.06063388904586908
2024-01-05,000998.CSI,中证TMT,1600.23,-1.5527816569976705
2024-01-05,932000.CSI,中证2000,2334.87,-1.9785894206549193
2024-01-05,h30269.CSI,红利低波,9831.13,0.34028081842945035
2024-01-08,000300.SH,沪深300,3286.06,-1.2931384063608609
2024-01-08,000688.SH,科创50,784.43,-2.8846272888217728
2024-01-08,000852.SH,中证1000,5543.57,-2.3298877164669163
2024-01-08,000905.SH,中证500,5167.7,-2.1615450588522656
2024-01-08,000922.CSI,中证红利,5046.02,-1.0438790018139854
2024-01-08,000998.CSI,中证TMT,1557.26,-2.6852389968942014
2024-01-08,932000.CSI,中证2000,2290.79,-1.8878995404455035
2024-01-08,h30269.CSI,红利低波,9740.64,-0.9204435298892366
2024-01-09,000300.SH,沪深300,3292.5,0.1959793795609288
2024-01-09,000688.SH,科创50,782.93,-0.1912216513901832
2024-01-09,000852.SH,中证1000,5553.3,0.17551866396565696
2024-01-09,000905.SH,中证500,5180.65,0.2505950422818648
2024-01-09,000922.CSI,中证红利,5074.4,0.5624234545245299
2024-01-09,000998.CSI,中证TMT,1550.11,-0.4591397711364853
2024-01-09,932000.CSI,中证2000,2304.96,0.6185639015361621
2024-01-09,h30269.CSI,红利低波,9799.66,0.6059150117446066
2024-01-10,000300.SH,沪深300,3277.13,-0.46681852695519277
2024-01-10,000688.SH,科创50,777.15,-0.7382524619059194
2024-01-10,000852.SH,中证1000,5512.07,-0.7424414312210859
2024-01-10,000905.SH,中证500,5158.08,-0.4356596180015937
2024-01-10,000922.CSI,中证红利,5046.52,-0.5494245625098371
2024-01-10,000998.CSI,中证TMT,1531.25,-1.2166878479591747
2024-01-10,932000.CSI,中证2000,2274.59,-1.3175933638761572
2024-01-10,h30269.CSI,红利低波,9730.29,-0.7078817020182204
2024-01-11,000300.SH,沪深300,3295.67,0.5657389239975164
2024-01-11,000688.SH,科创50,789.86,1.635462909348262
2024-01-11,000852.SH,中证1000,5611.11,1.7967841482419589
2024-01-11,000905.SH,中证500,5223.86,1.2752807246106945
2024-01-11,000922.CSI,中证红利,5020.58,-0.5140175804316693
2024-01-11,000998.CSI,中证TMT,1556.96,1.6790204081632787
2024-01-11,932000.CSI,中证2000,2319.44,1.9717839258943437
2024-01-11,h30269.CSI,红利低波,9668.83,-0.6316358505245034
2024-01-12,000300.SH,沪深300,3284.17,-0.34894270360806834
2024-01-12,000688.SH,科创50,778.36,-1.455954219735145
2024-01-12,000852.SH,中证1000,5574.49,-0.6526337926007542
2024-01-12,000905.SH,中证500,5206.18,-0.3384470487340696
2024-01-12,000922.CSI,中证红利,5032.42,0.23582932649215405
2024-01-12,000998.CSI,中证TMT,1532.86,-1.547888192374891
2024-01-12,932000.CSI,中证2000,2296.51,-0.9886006967198879
2024-01-12,h30269.CSI,红利低波,9707.01,0.3948771464592937
2024-01-15,000300.SH,沪深300,3280.92,-0.09895955446885818
2024-01-15,000688.SH,科创50,773.41,-0.6359525155455126
2024-01-15,000852.SH,中证1000,5559.38,-0.27105618630582917
2024-01-15,000905.SH,中证500,5193.3,-0.2473982843466782
2024-01-15,000922.CSI,中证红利,5057.51,0.49856728969361885
2024-01-15,000998.CSI,中证TMT,1533.44,0.037837767310788806
2024-01-15,932000.CSI,中证2000,2293.28,-0.14064820096580943
2024-01-15,h30269.CSI,红利低波,9777.74,0.7286486776051593
2024-01-16,000300.SH,沪深300,3300.88,0.6083659461370683
2024-01-16,000688.SH,科创50,777.4,0.5158971308878879
2024-01-16,000852.SH,中证1000,5539.47,-0.3581334609254916
2024-01-16,000905.SH,中证500,5190.4,-0.05584117998190807
2024-01-16,000922.CSI,中证红利,5075.15,0.3487882376900675
2024-01-16,000998.CSI,中证TMT,1529.56,-0.25302587646077734
2024-01-16,932000.CSI,中证2000,2280.91,-0.5394020791181342
2024-01-16,h30269.CSI,红利低波,9829.15,0.5257861223554761
2024-01-17,000300.SH,沪深300,3229.08,-2.175177528416672
2024-01-17,000688.SH,科创50,757.04,-2.6189863648057643
2024-01-17,000852.SH,中证1000,5389.12,-2.714158574737302
2024-01-17,000905.SH,中证500,5061.54,-2.4826602959309385
2024-01-17,000922.CSI,中证红利,5004.11,-1.399761583401471
2024-01-17,000998.CSI,中证TMT,1490.56,-2.5497528701064365
2024-01-17,932000.CSI,中证2000,2222.05,-2.5805489914113133
2024-01-17,h30269.CSI,红利低波,9701.19,-1.3018419700584372
2024-01-18,000300.SH,沪深300,3274.73,1.4137153616510023
2024-01-18,000688.SH,科创50,768.28,1.4847300010567555
2024-01-18,000852.SH,中证1000,5373.42,-0.2913277121311064
2024-01-18,000905.SH,中证500,5066.96,0.1070820343215706
2024-01-18,000922.CSI,中证红利,4971.3,-0.6556610466196711
2024-01-18,000998.CSI,中证TMT,1515.71,1.6872853155860845
2024-01-18,932000.CSI,中证2000,2205.2,-0.7583087689296053
2024-01-18,h30269.CSI,红利低波,9631.59,-0.7174377576359192
2024-01-19,000300.SH,沪深300,3269.78,-0.15115750000762596
2024-01-19,000688.SH,科创50,765.47,-0.36575206955796746
2024-01-19,000852.SH,中证1000,5306.99,-1.2362703827357713
2024-01-19,000905.SH,中证500,5018.43,-0.9577734973238328
2024-01-19,000922.CSI,中证红利,4942.08,-0.5877738217367701
2024-01-19,000998.CSI,中证TMT,1510.34,-0.35428940892388017
2024-01-19,932000.CSI,中证2000,2172.82,-1.4683475421730319
2024-01-19,h30269.CSI,红利低波,9573.97,-0.5982397506538506
2024-01-22,000300.SH,沪深300,3218.9,-1.5560679923419918
2024-01-22,000688.SH,科创50,742.23,-3.0360432152795047
2024-01-22,000852.SH,中证1000,5000.83,-5.768995230818219
2024-01-22,000905.SH,中证500,4780.97,-4.731758737294333
2024-01-22,000922.CSI,中证红利,4778.68,-3.3063001813001702
2024-01-22,000998.CSI,中证TMT,1453.11,-3.789213024881821
2024-01-22,932000.CSI,中证2000,2038.44,-6.184589611656744
2024-01-22,h30269.CSI,红利低波,9301.46,-2.8463636297168304
2024-01-23,000300.SH,沪深300,3231.93,0.40479666966974914
2024-01-23,000688.SH,科创50,749.74,1.0118157444457987
2024-01-23,000852.SH,中证1000,5079.63,1.5757384274210473
2024-01-23,000905.SH,中证500,4865.74,1.773071155016659
2024-01-23,000922.CSI,中证红利,4835.93,1.1980295813906805
2024-01-23,000998.CSI,中证TMT,1480.9,1.9124498489446973
2024-01-23,932000.CSI,中证2000,2043.57,0.25166303643961996
2024-01-23,h30269.CSI,红利低波,9390.53,0.9575916038987664
2024-01-24,000300.SH,沪深300,3277.11,1.3979263164734412
2024-01-24,000688.SH,科创50,750.27,0.07069117293994065
2024-01-24,000852.SH,中证1000,5143.41,1.2556032624423397
2024-01-24,000905.SH,中证500,4933.7,1.3967043039702087
2024-01-24,000922.CSI,中证红利,4943.46,2.223564030083147
2024-01-24,000998.CSI,中证TMT,1485.43,0.3058950638125335
2024-01-24,932000.CSI,中证2000,2072.88,1.4342547600522781
2024-01-24,h30269.CSI,红利低波,9614.97,2.390067440282917
2024-01-25,000300.SH,沪深300,3342.92,2.0081718343296417
2024-01-25,000688.SH,科创50,765.79,2.0685886414224086
2024-01-25,000852.SH,中证1000,5316.2,3.35944441528091
2024-01-25,000905.SH,中证500,5073.18,2.827087175953147
2024-01-25,000922.CSI,中证红利,5085.89,2.8811803878255438
2024-01-25,000998.CSI,中证TMT,1524.19,2.609345442060551
2024-01-25,932000.CSI,中证2000,2150.06,3.7233221411755446
2024-01-25,h30269.CSI,红利低波,9904.65,3.012801912018448
2024-01-26,000300.SH,沪深300,3333.82,-0.2722171036100174
2024-01-26,000688.SH,科创50,746.1,-2.5712009819924497
2024-01-26,000852.SH,中证1000,5269.76,-0.873556299612499
2024-01-26,000905.SH,中证500,5027.09,-0.9085031479269423
2024-01-26,000922.CSI,中证红利,5152.4,1.3077357158727265
2024-01-26,000998.CSI,中证TMT,1488.96,-2.31139162440378
2024-01-26,932000.CSI,中证2000,2142.15,-0.36789670985925005
2024-01-26,h30269.CSI,红利低波,10044.07,1.4076216726486956
2024-01-29,000300.SH,沪深300,3303.96,-0.8956692322920845
2024-01-29,000688.SH,科创50,725.31,-2.786489746682763
2024-01-29,000852.SH,中证1000,5131.25,-2.628392943891189
2024-01-29,000905.SH,中证500,4927.91,-1.9729107694511194
2024-01-29,000922.CSI,中证红利,5166.21,0.26803043241985236
2024-01-29,000998.CSI,中证TMT,1448.37,-2.7260638297872397
2024-01-29,932000.CSI,中证2000,2067.44,-3.4876175804682275
2024-01-29,h30269.CSI,红利低波,10068.14,0.23964388937949277
2024-01-30,000300.SH,沪深300,3245.04,-1.7833145679729823
2024-01-30,000688.SH,科创50,697.85,-3.785967379465327
2024-01-30,000852.SH,中证1000,4984.66,-2.85680876979294
2024-01-30,000905.SH,中证500,4814.99,-2.291437952397668
2024-01-30,000922.CSI,中证红利,5098.27,-1.3150839783903412
2024-01-30,000998.CSI,中证TMT,1402.65,-3.156651960479695
2024-01-30,932000.CSI,中证2000,2001.57,-3.186065859226872
2024-01-30,h30269.CSI,红利低波,9942.79,-1.2450164578561518
2024-01-31,000300.SH,沪深300,3215.35,-0.9149347927914664
2024-01-31,000688.SH,科创50,684.85,-1.8628645124310395
2024-01-31,000852.SH,中证1000,4785.03,-4.004886993295431
2024-01-31,000905.SH,中证500,4696.98,-2.450887748468844
2024-01-31,000922.CSI,中证红利,5079.34,-0.3713024221941974
2024-01-31,000998.CSI,中证TMT,1359.1,-3.1048372723060047
