date,southbound_net_buy_100mn,southbound_buy_100mn,southbound_sell_100mn,southbound_cumulative_net_buy_trillion
2026-05-26,-9.6766,782.3588000000001,792.0354,5.37479034
2026-05-27,-77.17439999999999,638.5872,715.7616,5.367072900000001
2026-05-28,76.08760000000011,787.3711999999999,711.2836,5.37468166
2026-05-29,18.8406,789.3946000000001,770.554,5.376565719999999
2026-06-01,46.573100000000004,687.581,641.0079000000001,5.38122303
2026-06-02,22.232,770.3330000000001,748.1010000000001,5.3834462300000006
2026-06-03,186.8197,821.0572,634.2375,5.4021282
2026-06-04,-3.1493,541.192,544.3412999999999,5.40181327
2026-06-05,-24.2643,618.5851,642.8494000000001,5.39938684
2026-06-08,113.179,673.6776,560.4986,5.41070474
2026-06-09,-86.1381,605.5304,691.6685000000001,5.40209093
2026-06-10,82.4332,666.5902000000001,584.1569999999999,5.41033425
2026-06-11,-27.5431,516.0183000000001,543.5614,5.407579940000001
2026-06-12,-39.423,602.4123999999999,641.8354,5.4036376399999995
2026-06-15,21.0996,597.2961,576.1965,5.4057476
2026-06-16,34.6302,570.9999,536.3697,5.4092106200000005
2026-06-17,-32.216299999999904,572.2413,604.4576000000001,5.40598899
2026-06-18,-67.9212,690.5058,758.427,5.39919687
2026-06-22,-58.1955,737.7647000000001,795.9602,5.39337732
2026-06-23,103.7077,746.0989,642.3912,5.40374809
2026-06-24,157.5073,781.1858,623.6785,5.41949882
2026-06-25,-88.7437,664.7826,753.5263,5.41062445
2026-06-26,-25.038000000000103,627.13,652.168,5.40812065
2026-06-29,-103.3879,627.7708,731.1587,5.39778186
2026-06-30,58.952200000000005,668.5261999999999,609.5740000000001,5.40367708
2026-07-02,-19.741400000000002,704.2575999999999,723.9989999999999,5.401702940000001
2026-07-03,45.3778000000001,649.9431,604.5653,5.4062407199999996
