date,pe_ttm,dividend_yield_ttm,erp,pe_ttm_mean,pe_ttm_std,pe_ttm_pctile,erp_mean,erp_std,erp_pctile,cn10y
2013-01-02,11.1809,3.0232,,,,,,,,
2013-01-03,11.2483,3.0125,,,,,,,,
2013-01-04,11.2079,3.0198,5.316078036028159,,,,,,,3.6062
2013-01-07,11.1821,3.0245,5.346364041637975,,,,,,,3.5965
2013-01-08,11.0477,3.0502,5.457357811128107,,,,,,,3.5943
2013-01-09,11.1009,3.0353,5.43327860804079,,,,,,,3.575
2013-01-10,11.1773,3.016,5.351704481404273,,,,,,,3.595
2013-01-11,11.1222,3.0291,5.391126955098812,,,,,,,3.5999
2013-01-14,11.2057,3.0098,5.321729734867077,,,,,,,3.6023
2013-01-15,11.1865,3.0172,5.3385465337683815,,,,,,,3.6008
2013-01-16,11.1499,3.0228,5.363990302155177,,,,,,,3.6047
2013-01-17,11.1315,3.0265,5.384915249517135,,,,,,,3.5986
2013-01-18,11.2922,2.991,5.272270285683924,,,,,,,3.5834
2013-01-21,11.2879,2.9924,5.284743754817105,,,,,,,3.5743
2013-01-22,11.325,2.9861,5.259522075055188,,,,,,,3.5705
2013-01-23,11.31,2.9879,5.273532979664014,,,,,,,3.5682
2013-01-24,11.2701,2.9982,5.291435731714893,,,,,,,3.5816
2013-01-25,11.2375,3.0033,5.315076418242491,,,,,,,3.5837
2013-01-28,11.2811,2.9925,5.260183792360673,,,,,,,3.6042
2013-01-29,11.2697,2.9908,5.261750665944967,,,,,,,3.6116
2013-01-30,11.3508,2.9697,5.2046517214645664,,,,,,,3.6053
2013-01-31,11.2894,2.9818,5.252466671390863,,,,,,,3.6054
2013-02-01,11.3057,2.9834,5.2446958366133885,,,,,,,3.6004
2013-02-04,11.2695,2.9864,5.2719081414437206,,,,,,,3.6016
2013-02-05,10.9902,3.0506,5.508015486524358,,,,,,,3.591
2013-02-06,11.0254,3.0386,5.477765715529596,,,,,,,3.5922
2013-02-07,10.9557,3.0501,5.534868702136787,,,,,,,3.5928
2013-02-08,10.9454,3.047,5.550358154110402,,,,,,,3.5859
2013-02-14,11.0646,3.0211,,,,,,,,
2013-02-15,11.0783,3.0163,,,,,,,,
2013-02-18,11.0318,3.0235,5.471803856125019,,,,,,,3.5929
2013-02-19,10.9037,3.0558,5.578098767390886,,,,,,,3.5931
2013-02-20,11.0092,3.0359,5.520112138938343,,,,,,,3.5632
2013-02-21,10.8234,3.0874,5.6769409039673295,,,,,,,3.5623
2013-02-22,10.7605,3.103,5.722448454997444,,,,,,,3.5708
2013-02-25,10.7703,3.0984,5.7026924384650375,,,,,,,3.5821
2013-02-26,10.6054,3.1386,5.834358730458068,,,,,,,3.5948
2013-02-27,10.509,3.1326,5.925253249595584,,,,,,,3.5904
2013-02-28,10.7219,3.0732,5.73100515486994,,,,,,,3.5957
2013-03-01,10.6397,3.093,5.810961243268139,,,,,,,3.5878
2013-03-04,10.514,3.1254,5.932628019783147,,,,,,,3.5785
2013-03-05,10.5295,3.1215,5.921127119046487,,,,,,,3.576
2013-03-06,10.6552,3.0918,5.804888970643441,,,,,,,3.5802
2013-03-07,10.6392,3.0938,5.817902947590044,,,,,,,3.5813
2013-03-08,10.8023,3.069,5.675687799820409,,,,,,,3.5816
2013-03-11,10.7872,3.053,5.687246217739542,,,,,,,3.583
2013-03-12,10.69,3.0801,5.764836950420953,,,,,,,3.5897
2013-03-13,10.5191,3.1153,5.916716717209647,,,,,,,3.5898
2013-03-14,10.5278,3.1015,5.906760688842874,,,,,,,3.5919
2013-03-15,10.4636,2.9746,5.965040250009557,,,,,,,3.5919
2013-03-18,10.2301,3.0582,6.177975512458333,,,,,,,3.5971
2013-03-19,10.1921,3.0646,6.21932068759137,,,,,,,3.5922
2013-03-20,10.3222,3.2292,6.1156572397357145,,,,,,,3.5722
2013-03-21,10.2965,3.2319,6.130138071189239,,,,,,,3.5819
2013-03-22,10.2316,3.2458,6.192042441064936,,,,,,,3.5816
2013-03-25,10.1728,3.2209,6.253135262661214,,,,,,,3.577
2013-03-26,10.0922,3.2082,6.33694231782961,,,,,,,3.5717
2013-03-27,10.0691,3.1869,6.370274204248641,,,,,,,3.5611
2013-03-28,9.9905,3.2125,6.459009033581902,,,,,,,3.5505
2013-04-02,10.0091,3.2028,6.4803,10.849973333333335,0.39972410854932955,3.3333333333333335,,,,3.5106
2013-04-03,9.9892,3.1981,6.5103,10.835862295081968,0.411226595891491,1.639344262295082,,,,3.5005
2013-04-05,9.7063,3.2851,6.8021,10.817643548387096,0.43200354449746964,1.6129032258064515,,,,
2013-04-08,9.6999,3.2834,6.8189,10.799901587301589,0.4507559356121054,1.5873015873015872,,,,3.4905
2013-04-09,9.7898,3.2614,6.7442,10.78411875,0.4644344762971823,4.6875,5.732419054598095,0.4392933320563881,96.66666666666667,3.4705
2013-04-10,9.8576,3.2539,6.6821,10.769864615384616,0.4747467465536906,6.153846153846154,5.74798759468665,0.452059524724487,95.08196721311475,3.4624
2013-04-11,9.8794,3.2451,6.6516,10.756372727272728,0.48353032481300956,7.575757575757576,5.762561988320736,0.46262177862647386,93.54838709677419,3.4705
2013-04-12,9.8627,3.2306,6.6737,10.74303432835821,0.49199009107611774,7.462686567164178,5.777024496442629,0.47285300174147454,93.65079365079364,3.4655
2013-04-15,9.7073,3.2765,6.861,10.72780294117647,0.5040221263147872,4.411764705882353,5.793961613685713,0.4880255345401256,100.0,3.4405
2013-04-16,9.6551,3.291,6.9567,10.71225652173913,0.5165187198589356,1.4492753623188406,5.811849896552087,0.5049595900526328,100.0,3.4005
