date,pb_dispersion_raw,pb_dispersion_ma5,wind_all_a_close
2021-02-07,0.3849850294720756,,5426.5
2021-02-14,0.37462182331514565,,5701.19
2021-02-21,0.35578356985810133,0.37179680754844086,5756.86
2021-02-28,0.32442011253946756,0.3599526337961975,5416.16
2021-03-07,0.30156842235075415,0.34827579150710886,5409.34
2021-03-14,0.291875203828928,0.32965382637847934,5278.13
2021-03-21,0.2785919879617619,0.31044785930780255,5204.71
2021-03-28,0.2721297102525849,0.2937170873866993,5237.81
2021-04-04,0.2871013102420465,0.2862533269272151,5336.36
2021-04-11,0.27897483797932143,0.28173461005292855,5276.09
2021-04-18,0.2658896125150265,0.27653749179014825,5240.87
2021-04-25,0.2893546565254889,0.2786900255028937,5380.15
2021-05-02,0.28630756765132986,0.2815255969826426,5362.42
2021-05-09,0.2735360824114352,0.2788125514165204,5265.95
2021-05-16,0.26603096170531393,0.2762237761617189,5383.44
2021-05-23,0.2815365426621187,0.2793531621911373,5409.76
2021-05-30,0.28840399509728587,0.2791630299054967,5588.06
2021-06-06,0.29202859765993217,0.2803072359072172,5606.79
2021-06-13,0.2970132973023125,0.28500267888539266,5610.99
2021-06-20,0.3084386638697418,0.2934842193182782,5540.56
2021-06-27,0.31503972812783887,0.30018485641142223,5688.21
2021-07-04,0.3203470480935725,0.30657346701067956,5577.04
2021-07-11,0.3417820487516798,0.31652415722902905,5657.3
2021-07-18,0.3379036014561339,0.3247022180597933,5704.78
2021-07-25,0.351697602131369,0.3333540057121188,5745.53
2021-08-01,0.356580945067525,0.34166224910005605,5540.78
2021-08-08,0.35698475538755936,0.3489897905588534,5670.43
2021-08-15,0.34757625373785045,0.35014863155608755,5743.69
2021-08-22,0.34749498939779305,0.3520669091444194,5580.16
2021-08-29,0.348366451541865,0.3514006790265186,5716.54
2021-09-05,0.3277803954414206,0.3456405691012977,5722.99
2021-09-12,0.3243965618264715,0.33912293038908015,5927.81
2021-09-19,0.32677377664650886,0.3349624349708118,5772.8
2021-09-26,0.32514684842394087,0.33049280677604137,5751.43
2021-10-03,0.32392876763485284,0.3256052699946389,5660.42
2021-10-10,0.3082607940327281,0.32170134971290043,5701.25
2021-10-17,0.32226503924346894,0.3212750451962999,5680.06
2021-10-24,0.32059305288483975,0.32003890044396605,5709.57
2021-10-31,0.33547666472572907,0.32210486370432373,5679.9
2021-11-07,0.3406077225050681,0.3254406546783668,5645.35
2021-11-14,0.33782329163333247,0.33135315419848765,5773.4
2021-11-21,0.33632745065044567,0.33416563647988295,5809.48
2021-11-28,0.3421489621295404,0.3384768183288231,5839.63
2021-12-05,0.3425030689598062,0.33988209917563855,5898.2
2021-12-12,0.33010622386876415,0.3377817994483777,5966.84
2021-12-19,0.32538710986700237,0.33529456309511174,5905.76
2021-12-26,0.3128438271924624,0.3305978384035151,5845.1
2022-01-02,0.3106846202052996,0.324304970018667,5919.4
2022-01-09,0.28387634087453406,0.31257962440161247,5764.97
2022-01-16,0.2870890243766554,0.30397618450319075,5700.33
2022-01-23,0.2768487997249739,0.2942685224747851,5641.75
